3,0.00,-0.07,-0.35,0.35,0.31,8.31,0.03,0.01,0.00,-7.75,-7.31,2.07,1.92,1000
3,-0.14,0.00,-0.35,0.32,0.27,8.33,-0.01,-0.03,0.00,-7.75,-7.31,2.10,1.96,1000
3,0.14,0.14,-0.28,0.29,0.35,8.35,-0.03,0.05,0.00,-7.75,-7.31,2.11,1.95,1000
SG3,0.14,-0.14,-0.35,0.29,0.30,8.21,-0.03,-0.01,0.00,-7.75,-7.31,2.11,1.99,1000
3,0.00,0.07,-0.49,0.17,0.28,8.45,-0.16,-0.03,0.00,-7.75,-7.31,2.12,1.98,1000
3,0.00,0.07,-0.21,0.29,0.29,8.33,-0.03,-0.03,0.00,-7.76,-7.31,2.12,2.04,1000
3,0.07,-0.07,-0.35,0.30,0.37,8.21,-0.03,0.05,0.00,-7.76,-7.32,2.12,2.06,1000
3,0.07,0.14,-0.42,0.31,0.33,8.44,-0.01,0.02,0.00,-7.76,-7.32,2.08,1.98,1000
3,0.07,0.07,-0.21,0.31,0.31,8.20,-0.02,0.00,0.00,-7.76,-7.32,2.10,1.98,1000
3,0.00,-0.07,-0.35,0.29,0.19,8.32,-0.04,-0.11,0.00,-7.76,-7.32,2.10,1.93,1000
3,-0.07,-0.07,-0.28,0.28,0.29,8.35,-0.04,-0.01,0.00,-7.76,-7.32,2.11,1.96,1000
3,0.14,-0.14,-0.35,0.32,0.18,8.36,-0.01,-0.12,0.00,-7.76,-7.32,2.13,1.93,1000
3,0.00,0.00,-0.35,0.28,0.28,8.35,-0.05,-0.02,0.00,-7.76,-7.32,2.10,1.93,1000
3,0.00,0.07,-0.21,0.30,0.36,8.21,-0.03,0.05,0.00,-7.76,-7.32,2.10,2.02,1000
3,0.00,0.00,-0.35,0.31,0.32,8.27,-0.02,0.02,0.00,-7.76,-7.32,2.10,1.96,1000
3,0.07,0.07,-0.28,0.33,0.27,8.36,0.01,-0.04,0.00,-7.76,-7.32,2.11,2.00,1000
3,-0.07,0.00,-0.35,0.29,0.30,8.32,-0.04,-0.02,0.00,-7.76,-7.32,2.11,2.03,1000
3,0.07,0.00,-0.42,0.29,0.28,8.23,-0.04,-0.02,0.00,-7.76,-7.32,2.09,1.96,1000
3,0.00,0.07,-0.28,0.33,0.27,8.35,0.01,-0.03,0.00,-7.76,-7.32,2.06,1.94,1000
3,0.07,0.00,-0.49,0.37,0.15,8.27,0.04,-0.14,0.00,-7.76,-7.32,2.12,1.93,1000
3,0.07,0.00,-0.28,0.30,0.38,8.43,-0.03,0.07,0.00,-7.76,-7.32,2.11,2.02,1000
3,0.07,0.00,-0.42,0.33,0.28,8.20,0.01,-0.01,0.00,-7.76,-7.32,2.11,1.91,1000
SG3,0.14,0.00,-0.28,0.33,0.28,8.30,0.01,-0.03,0.00,-7.77,-7.32,2.09,1.95,1000
3,0.07,0.00,-0.28,0.21,0.32,8.44,-0.11,0.01,0.00,-7.77,-7.33,2.05,1.97,1000
3,0.14,0.07,-0.28,0.34,0.29,8.21,0.02,-0.01,0.00,-7.77,-7.33,2.06,1.97,1000
3,-0.07,0.00,-0.21,0.34,0.38,8.44,0.02,0.06,0.00,-7.77,-7.33,2.11,2.09,1000
3,0.14,0.07,-0.35,0.34,0.35,8.22,0.01,0.03,0.00,-7.77,-7.33,2.13,2.04,1000
3,0.07,0.07,-0.21,0.32,0.13,8.29,-0.01,-0.17,0.00,-7.77,-7.33,2.10,1.91,1000
